		4	4 1/2	5	5 1/2	6	6 1/2	7	7 1/2	8	8 1/2	9	9 1/2	10	10 1/2	11	11 1/2	12	12 1/2	13	13 1/2	14	14 1/2	15
A	ball	7 3/4	7 7/8	8	8 1/8	8 1/4	8 3/8	8 1/2	8 5/8	8 3/4	8 7/8	9	9 1/8	9 1/4	9 3/8	9 1/2	9 5/8	9 3/4	9 7/8	10	10 1/8	10 1/4	10 3/8	10 1/2
A	instep	8	8 1/8	8 1/4	8 3/8	8 1/2	8 5/8	8 3/4	8 7/8	9	9 1/8	9 1/4	9 3/8	9 1/2	9 5/8	9 3/4	9 7/8	10	10 1/8	10 1/4	10 3/8	10 1/2	10 5/8	10 3/4
A	heel	11 1/2	11 5/8	11 3/4	11 7/8	12	12 1/8	12 1/4	12 3/8	12 1/2	12 5/8	12 3/4	12 7/8	13	13 1/8	13 1/4	13 3/8	13 1/2	13 5/8	13 3/4	13 7/8	14	14 1/8	14 1/4
B	ball	8	8 1/8	8 1/4	8 3/8	8 1/2	8 5/8	8 3/4	8 7/8	9	9 1/8	9 1/4	9 3/8	9 1/2	9 5/8	9 3/4	9 7/8	10	10 1/8	10 1/4	10 3/8	10 1/2	10 5/8	10 3/4
B	instep	8 1/4	8 3/8	8 1/2	8 5/8	8 3/4	8 7/8	9	9 1/8	9 1/4	9 3/8	9 1/2	9 5/8	9 3/4	9 7/8	10	10 1/8	10 1/4	10 3/8	10 1/2	10 5/8	10 3/4	10 7/8	11
B	heel	11 3/4	11 7/8	12	12 1/8	12 1/4	12 3/8	12 1/2	12 5/8	12 3/4	12 7/8	13	13 1/8	13 1/4	13 3/8	13 1/2	13 5/8	13 3/4	13 7/8	14	14 1/8	14 1/4	14 3/8	14 1/2
C	ball	8 1/4	8 3/8	8 1/2	8 5/8	8 3/4	8 7/8	9	9 1/8	9 1/4	9 3/8	9 1/2	9 5/8	9 3/4	9 7/8	10	10 1/8	10 1/4	10 3/8	10 1/2	10 5/8	10 3/4	10 7/8	11
C	instep	8 1/2	8 5/8	8 3/4	8 7/8	9	9 1/8	9 1/4	9 3/8	9 1/2	9 5/8	9 3/4	9 7/8	10	10 1/8	10 1/4	10 3/8	10 1/2	10 5/8	10 3/4	10 7/8	11	11 1/8	11 1/4
C	heel	12	12 1/8	12 1/4	12 3/8	12 1/2	12 5/8	12 3/4	12 7/8	13	13 1/8	13 1/4	13 3/8	13 1/2	13 5/8	13 3/4	13 7/8	14	14 1/8	14 1/4	14 3/8	14 1/2	14 5/8	14 3/4
D	ball	8 1/2	8 5/8	8 3/4	8 7/8	9	9 1/8	9 1/4	9 3/8	9 1/2	9 5/8	9 3/4	9 7/8	10	10 1/8	10 1/4	10 3/8	10 1/2	10 5/8	10 3/4	10 7/8	11	11 1/8	11 1/4
D	instep	8 3/4	8 7/8	9	9 1/8	9 1/4	9 3/8	9 1/2	9 5/8	9 3/4	9 7/8	10	10 1/8	10 1/4	10 3/8	10 1/2	10 5/8	10 3/4	10 7/8	11	11 1/8	11 1/4	11 3/8	11 1/2
D	heel	12 1/4	12 3/8	12 1/2	12 5/8	12 3/4	12 7/8	13	13 1/8	13 1/4	13 3/8	13 1/2	13 5/8	13 3/4	13 7/8	14	14 1/8	14 1/4	14 3/8	14 1/2	14 5/8	14 3/4	14 7/8	15
E	ball	8 3/4	8 7/8	9	9 1/8	9 1/4	9 3/8	9 1/2	9 5/8	9 3/4	9 7/8	10	10 1/8	10 1/4	10 3/8	10 1/2	10 5/8	10 3/4	10 7/8	11	11 1/8	11 1/4	11 3/8	11 1/2
E	instep	9	9 1/8	9 1/4	9 3/8	9 1/2	9 5/8	9 3/4	9 7/8	10	10 1/8	10 1/4	10 3/8	10 1/2	10 5/8	10 3/4	10 7/8	11	11 1/8	11 1/4	11 3/8	11 1/2	11 5/8	11 3/4
E	heel	12 1/2	12 5/8	12 3/4	12 7/8	13	13 1/8	13 1/4	13 3/8	13 1/2	13 5/8	13 3/4	13 7/8	14	14 1/8	14 1/4	14 3/8	14 1/2	14 5/8	14 3/4	14 7/8	15	15 1/8	15 1/4
EE	ball	9	9 1/8	9 1/4	9 3/8	9 1/2	9 5/8	9 3/4	9 7/8	10	10 1/8	10 1/4	10 3/8	10 1/2	10 5/8	10 3/4	10 7/8	11	11 1/8	11 1/4	11 3/8	11 1/2	11 5/8	11 3/4
EE	instep	9 1/4	9 3/8	9 1/2	9 5/8	9 3/4	9 7/8	10	10 1/8	10 1/4	10 3/8	10 1/2	10 5/8	10 3/4	10 7/8	11	11 1/8	11 1/4	11 3/8	11 1/2	11 5/8	11 3/4	11 7/8	12
EE	heel	12 3/4	12 7/8	13	13 1/8	13 1/4	13 3/8	13 1/2	13 5/8	13 3/4	13 7/8	14	14 1/8	14 1/4	14 3/8	14 1/2	14 5/8	14 3/4	14 7/8	15	15 1/8	15 1/4	15 3/8	15 1/2
F	ball	9 1/4	9 3/8	9 1/2	9 5/8	9 3/4	9 7/8	10	10 1/8	10 1/4	10 3/8	10 1/2	10 5/8	10 3/4	10 7/8	11	11 1/8	11 1/4	11 3/8	11 1/2	11 5/8	11 3/4	11 7/8	12
F	instep	9 1/2	9 5/8	9 3/4	9 7/8	10	10 1/8	10 1/4	10 3/8	10 1/2	10 5/8	10 3/4	10 7/8	11	11 1/8	11 1/4	11 3/8	11 1/2	11 5/8	11 3/4	11 7/8	12	12 1/8	12 1/4
F	heel	13	13 1/8	13 1/4	13 3/8	13 1/2	13 5/8	13 3/4	13 7/8	14	14 1/8	14 1/4	14 3/8	14 1/2	14 5/8	14 3/4	14 7/8	15	15 1/8	15 1/4	15 3/8	15 1/2	15 5/8	15 3/4
FF	ball	9 1/2	9 5/8	9 3/4	9 7/8	10	10 1/8	10 1/4	10 3/8	10 1/2	10 5/8	10 3/4	10 7/8	11	11 1/8	11 1/4	11 3/8	11 1/2	11 5/8	11 3/4	11 7/8	12	12 1/8	12 1/4
FF	instep	9 3/4	9 7/8	10	10 1/8	10 1/4	10 3/8	10 1/2	10 5/8	10 3/4	10 7/8	11	11 1/8	11 1/4	11 3/8	11 1/2	11 5/8	11 3/4	11 7/8	12	12 1/8	12 1/4	12 3/8	12 1/2
FF	heel	13 1/4	13 3/8	13 1/2	13 5/8	13 3/4	13 7/8	14	14 1/8	14 1/4	14 3/8	14 1/2	14 5/8	14 3/4	14 7/8	15	15 1/8	15 1/4	15 3/8	15 1/2	15 5/8	15 3/4	15 7/8	16
FFF	ball	9 3/4	9 7/8	10	10 1/8	10 1/4	10 3/8	10 1/2	10 5/8	10 3/4	10 7/8	11	11 1/8	11 1/4	11 3/8	11 1/2	11 5/8	11 3/4	11 7/8	12	12 1/8	12 1/4	12 3/8	12 1/2
FFF	instep	10	10 1/8	10 1/4	10 3/8	10 1/2	10 5/8	10 3/4	10 7/8	11	11 1/8	11 1/4	11 3/8	11 1/2	11 5/8	11 3/4	11 7/8	12	12 1/8	12 1/4	12 3/8	12 1/2	12 5/8	12 3/4
FFF	heel	13 1/2	13 5/8	13 3/4	13 7/8	14	14 1/8	14 1/4	14 3/8	14 1/2	14 5/8	14 3/4	14 7/8	15	15 1/8	15 1/4	15 3/8	15 1/2	15 5/8	15 3/4	15 7/8	16	16 1/8	16 1/4
